"Jahr","Alter","Geschlecht","qx"
1948,41,"F",0.003562
1948,42,"F",0.003322
1948,43,"F",0.003764
1948,44,"F",0.00419
1948,45,"F",0.004085
1948,46,"F",0.0048
1948,47,"F",0.005815
1948,48,"F",0.005269
1948,49,"F",0.005941
1948,50,"F",0.006669
1948,51,"F",0.006618
1948,52,"F",0.007492
1948,53,"F",0.00774
1948,54,"F",0.008378
1948,55,"F",0.008487
1948,56,"F",0.009797
1948,57,"F",0.011364
1948,58,"F",0.011231
1948,59,"F",0.011615
1948,60,"F",0.013837
1948,61,"F",0.014799
1948,62,"F",0.01703
1948,63,"F",0.018135
1948,64,"F",0.019345
1948,65,"F",0.023827
1948,66,"F",0.023756
1948,67,"F",0.026577
1948,68,"F",0.029041
1948,69,"F",0.033002
1948,70,"F",0.039099
1948,71,"F",0.043489
1948,72,"F",0.047958
1948,73,"F",0.05408
1948,74,"F",0.054892
1948,75,"F",0.062587
1948,76,"F",0.070853
1948,77,"F",0.074459
1948,78,"F",0.083952
1948,79,"F",0.089744
1948,80,"F",0.112452
1948,81,"F",0.126678
1948,82,"F",0.126241
1948,83,"F",0.144089
1948,84,"F",0.159941
1948,85,"F",0.168648
1948,86,"F",0.173094
1948,87,"F",0.180731
1948,88,"F",0.191664
1948,89,"F",0.223972
1948,90,"F",0.239899
1948,91,"F",0.265271
1948,92,"F",0.257908
1948,93,"F",0.307414
1948,94,"F",0.216867
1948,95,"F",0.354286
1949,0,"M",0.083553
1949,1,"M",0.006456
1949,2,"M",0.003527
1949,3,"M",0.002601
1949,4,"M",0.002109
1949,5,"M",0.001696
1949,6,"M",0.001603
1949,7,"M",0.001125
1949,8,"M",0.001004
1949,9,"M",0.000712
1949,10,"M",0.000911
1949,11,"M",0.001073
1949,12,"M",0.001188
1949,13,"M",0.001227
1949,14,"M",0.000819
1949,15,"M",0.001444
1949,16,"M",0.001302
1949,17,"M",0.00161
1949,18,"M",0.00203
1949,19,"M",0.00213
1949,20,"M",0.002267
1949,21,"M",0.002187
1949,22,"M",0.002716
1949,23,"M",0.002468
1949,24,"M",0.002807
1949,25,"M",0.003033
1949,26,"M",0.002645
1949,27,"M",0.002569
1949,28,"M",0.002358
1949,29,"M",0.002831
1949,30,"M",0.002598
1949,31,"M",0.003441
1949,32,"M",0.002663
1949,33,"M",0.002398
1949,34,"M",0.00332
1949,35,"M",0.003842
1949,36,"M",0.003205
1949,37,"M",0.004112
1949,38,"M",0.003812
1949,39,"M",0.003795
1949,40,"M",0.003774
1949,41,"M",0.00437
1949,42,"M",0.005286
1949,43,"M",0.005112
1949,44,"M",0.005512
1949,45,"M",0.005892
1949,46,"M",0.00751
1949,47,"M",0.007544
1949,48,"M",0.008873
1949,49,"M",0.010325
1949,50,"M",0.009844
1949,51,"M",0.010219
1949,52,"M",0.01163
1949,53,"M",0.012821
1949,54,"M",0.014812
1949,55,"M",0.014977
1949,56,"M",0.016983
1949,57,"M",0.017377
1949,58,"M",0.018416
1949,59,"M",0.022823
1949,60,"M",0.023353
1949,61,"M",0.027007
1949,62,"M",0.028014
1949,63,"M",0.029153
1949,64,"M",0.034236
1949,65,"M",0.034154
1949,66,"M",0.037747
1949,67,"M",0.041866
